state_abbreviation,state_name,report_date,state_expanded_medicaid,preliminary_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_c640,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_9919,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application__fo_e28a,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations__footnotes,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment__footnotes,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_enrollment,total_medicaid_enrollment__footnotes,total_chip_enrollment,total_chip_enrollment__footnotes
MA,Massachusetts,06/01/2020,Y,U,Y,8454,,4012,,12466,,8423,,787,,9210,,684920,,1632191,,1441091,,191100,
MA,Massachusetts,07/01/2020,Y,U,Y,9115,,4572,,13687,,9284,,721,,10005,,689082,,1647914,,1455646,,192268,
MA,Massachusetts,08/01/2020,Y,U,Y,9425,,3802,,13227,,8433,,755,,9188,,693132,,1665288,,1471165,,194123,
MA,Massachusetts,09/01/2020,Y,U,Y,9668,,4704,,14372,,9657,,850,,10507,,696552,,1684294,,1488539,,195755,
MA,Massachusetts,10/01/2020,Y,U,Y,9958,,3757,,13715,,8861,,731,,9592,,699448,,1702326,,1502267,,200059,
MA,Massachusetts,11/01/2020,Y,U,Y,9365,,4279,,13644,,7317,,610,,7927,,701840,,1717653,,1517241,,200412,
MA,Massachusetts,12/01/2020,Y,U,Y,9592,,4795,,14387,,7647,,677,,8324,,703430,,1730716,,1530047,,200669,
MA,Massachusetts,01/01/2021,Y,U,Y,9388,,4642,,14030,,7313,,690,,8003,,704617,,1741493,,1541157,,200336,
MA,Massachusetts,02/01/2021,Y,U,Y,8496,,3085,,11581,,7438,,556,,7994,,705031,,1749848,,1549169,,200679,
MA,Massachusetts,03/01/2021,Y,U,Y,10581,,3641,,14222,,9510,,653,,10163,,706674,,1760025,,1559609,,200416,
MA,Massachusetts,04/01/2021,Y,U,Y,10241,,3098,,13339,,9505,,621,,10126,,708683,,1769618,,1568215,,201403,
MA,Massachusetts,05/01/2021,Y,U,Y,9669,,2930,,12599,,9525,,637,,10162,,709047,,1773779,,1573306,,200473,
MA,Massachusetts,06/01/2021,Y,U,Y,11990,,3272,,15262,,10128,,630,,10758,,713641,,1789843,,1587932,,201911,
MA,Massachusetts,07/01/2021,Y,U,Y,11960,,3875,,15835,,12318,,809,,13127,,716544,,1797825,,1594906,,202919,
MA,Massachusetts,08/01/2021,Y,U,Y,12643,,3014,,15657,,14596,,772,,15368,,721854,,1810614,,1609713,,200901,
MA,Massachusetts,09/01/2021,Y,U,Y,13499,,3289,,16788,,17157,,963,,18120,,724687,,1822473,,1622628,,199845,
MA,Massachusetts,10/01/2021,Y,U,Y,12037,,2543,,14580,,13011,,738,,13749,,726530,,1833625,,1639353,,194272,
MA,Massachusetts,11/01/2021,Y,U,Y,12278,,3595,,15873,,12363,,711,,13074,,726615,,1845572,,1653562,,192010,
MA,Massachusetts,12/01/2021,Y,U,Y,12641,,4119,,16760,,13690,,764,,14454,,729198,,1853472,,1662727,,190745,
MA,Massachusetts,01/01/2022,Y,U,Y,11843,,4548,,16391,,13600,,766,,14366,,732488,,1868127,,1678278,,189849,
MA,Massachusetts,02/01/2022,Y,U,Y,11182,,2857,,14039,,11239,,593,,11832,,736430,,1875802,,1687685,,188117,
MA,Massachusetts,03/01/2022,Y,U,Y,13538,,3241,,16779,,13228,,852,,14080,,736501,,1884256,,1695154,,189102,
MA,Massachusetts,04/01/2022,Y,U,Y,9730,,6125,,15855,,11610,,699,,12309,,738225,,1892520,,1703234,,189286,
MA,Massachusetts,05/01/2022,Y,U,Y,9929,,6163,,16092,,11227,,593,,11820,,740065,,1904927,,1715277,,189650,
MA,Massachusetts,06/01/2022,Y,U,Y,11084,,7032,,18116,,11446,,599,,12045,,741500,,1912980,,1722870,,190110,
MA,Massachusetts,07/01/2022,Y,U,Y,10191,,7272,,17463,,13619,,429,,14048,,744140,,1923683,,1732890,,190793,
MA,Massachusetts,08/01/2022,Y,U,Y,11867,,8565,,20432,,16764,,487,,17251,,746383,,1933081,,1740636,,192445,
MA,Massachusetts,09/01/2022,Y,U,Y,11000,,7511,,18511,,14058,,858,,14916,,748858,,1946317,,1750015,,196302,
MA,Massachusetts,10/01/2022,Y,U,Y,10639,,6873,,17512,,13000,,762,,13762,,751530,,1958878,,1755899,,202979,
MA,Massachusetts,11/01/2022,Y,U,Y,10901,,7659,,18560,,12644,,808,,13452,,752882,,1967217,,1762636,,204581,
MA,Massachusetts,12/01/2022,Y,U,Y,10343,,7400,,17743,,12130,,709,,12839,,754340,,1977039,,1771886,,205153,
MD,Maryland,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,856297,,,,,
MD,Maryland,06/01/2017,Y,U,Y,8203,,83277,"Includes Renewals and/or Redeterminations",91480,"Includes Renewals and/or Redeterminations",24087,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3427,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",27514,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",609109,,1305591,,1159266,,146325,
MD,Maryland,07/01/2017,Y,U,Y,7250,,85553,"Includes Renewals and/or Redeterminations",92803,"Includes Renewals and/or Redeterminations",25473,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3790,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",29263,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",608867,,1306788,,1161097,,145691,
MD,Maryland,08/01/2017,Y,U,Y,8363,,88055,"Includes Renewals and/or Redeterminations",96418,"Includes Renewals and/or Redeterminations",28747,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",4297,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",33044,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",610637,,1309986,,1163808,,146178,
MD,Maryland,09/01/2017,Y,U,Y,8247,,89368,,97615,,27055,,3967,,31022,,609737,,1309803,,1163936,,145867,
MD,Maryland,10/01/2017,Y,U,Y,8953,,91896,,100849,,27309,,3999,,31308,,611740,,1312572,,1164686,,147886,
MD,Maryland,11/01/2017,Y,U,Y,7737,,123157,,130894,,29647,,5153,,34800,,612034,,1317089,,1169636,,147453,
MD,Maryland,12/01/2017,Y,U,Y,7346,,118654,,126000,,30775,,6018,,36793,,614353,,1323306,,1174217,,149089,
MD,Maryland,01/01/2018,Y,U,Y,7384,,96624,,104008,,27749,,4696,,32445,,616615,,1325225,,1175447,,149778,
MD,Maryland,02/01/2018,Y,U,Y,7622,,79909,,87531,,25746,,3674,,29420,,619325,,1330636,,1180761,,149875,
MD,Maryland,03/01/2018,Y,U,Y,7779,,85938,"Includes Renewals and/or Redeterminations",93717,"Includes Renewals and/or Redeterminations",26936,"Includes Renewals and/or Redeterminations",3549,"Includes Renewals and/or Redeterminations",30485,"Includes Renewals and/or Redeterminations",620420,,1332308,,1181472,,150836,
MD,Maryland,04/01/2018,Y,U,Y,9434,,82661,"Includes Renewals and/or Redeterminations",92095,"Includes Renewals and/or Redeterminations",28252,"Includes Renewals and/or Redeterminations",3660,"Includes Renewals and/or Redeterminations",31912,"Includes Renewals and/or Redeterminations",618806,,1328160,,1178127,,150033,
MD,Maryland,05/01/2018,Y,U,Y,9497,,87754,"Includes Renewals and/or Redeterminations",97251,"Includes Renewals and/or Redeterminations",29762,"Includes Renewals and/or Redeterminations",3786,"Includes Renewals and/or Redeterminations",33548,"Includes Renewals and/or Redeterminations",618265,,1322717,,1172193,,150524,
MD,Maryland,06/01/2018,Y,U,Y,8512,,95234,"Includes Renewals and/or Redeterminations",103746,"Includes Renewals and/or Redeterminations",31487,"Includes Renewals and/or Redeterminations",3348,"Includes Renewals and/or Redeterminations",34835,"Includes Renewals and/or Redeterminations",614764,,1312067,,1161507,,150560,
MD,Maryland,07/01/2018,Y,U,Y,8122,,99494,"Includes Renewals and/or Redeterminations",107616,"Includes Renewals and/or Redeterminations",31549,"Includes Renewals and/or Redeterminations",3790,"Includes Renewals and/or Redeterminations",35339,"Includes Renewals and/or Redeterminations",615881,,1312271,,1160208,,152063,
MD,Maryland,08/01/2018,Y,U,Y,7924,,100027,"Includes Renewals and/or Redeterminations",107951,"Includes Renewals and/or Redeterminations",32986,"Includes Renewals and/or Redeterminations",4393,"Includes Renewals and/or Redeterminations",37379,"Includes Renewals and/or Redeterminations",617641,,1314590,,1160769,,153821,
MD,Maryland,09/01/2018,Y,U,Y,6691,,90889,"Includes Renewals and/or Redeterminations",97580,"Includes Renewals and/or Redeterminations",27212,"Includes Renewals and/or Redeterminations",3759,"Includes Renewals and/or Redeterminations",30971,"Includes Renewals and/or Redeterminations",617480,,1312423,,1158182,,154241,
MD,Maryland,10/01/2018,Y,U,Y,9338,,102299,"Includes Renewals and/or Redeterminations",111637,"Includes Renewals and/or Redeterminations",30409,"Includes Renewals and/or Redeterminations",3782,"Includes Renewals and/or Redeterminations",34191,"Includes Renewals and/or Redeterminations",617339,,1311435,,1157010,,154425,
MD,Maryland,11/01/2018,Y,U,Y,7241,,114851,"Includes Renewals and/or Redeterminations",122092,"Includes Renewals and/or Redeterminations",30882,"Includes Renewals and/or Redeterminations",4141,"Includes Renewals and/or Redeterminations",35023,"Includes Renewals and/or Redeterminations",617747,,1313879,,1158172,,155707,
MD,Maryland,12/01/2018,Y,U,Y,6802,,112851,"Includes Renewals and/or Redeterminations",119653,"Includes Renewals and/or Redeterminations",30669,"Includes Renewals and/or Redeterminations",4390,"Includes Renewals and/or Redeterminations",35059,"Includes Renewals and/or Redeterminations",618583,,1316115,,1158429,,157686,
MD,Maryland,01/01/2019,Y,U,Y,7860,,100608,"Includes Renewals and/or Redeterminations",108468,"Includes Renewals and/or Redeterminations",30452,"Includes Renewals and/or Redeterminations",4225,"Includes Renewals and/or Redeterminations",34677,"Includes Renewals and/or Redeterminations",634201,,1327948,,1154458,,173490,
MD,Maryland,02/01/2019,Y,U,Y,7188,,85317,"Includes Renewals and/or Redeterminations",92505,"Includes Renewals and/or Redeterminations",26166,"Includes Renewals and/or Redeterminations",2967,"Includes Renewals and/or Redeterminations",29133,"Includes Renewals and/or Redeterminations",619242,,1315090,,1158817,,156273,
MD,Maryland,03/01/2019,Y,U,Y,8101,,86070,"Includes Renewals and/or Redeterminations",94171,"Includes Renewals and/or Redeterminations",30083,"Includes Renewals and/or Redeterminations",3209,"Includes Renewals and/or Redeterminations",33292,"Includes Renewals and/or Redeterminations",620780,,1318895,,1163490,,155405,
MD,Maryland,04/01/2019,Y,U,Y,7986,,84578,"Includes Renewals and/or Redeterminations",92564,"Includes Renewals and/or Redeterminations",29860,"Includes Renewals and/or Redeterminations",2840,"Includes Renewals and/or Redeterminations",32700,"Includes Renewals and/or Redeterminations",621326,,1320216,,1165454,,154762,
MD,Maryland,05/01/2019,Y,U,Y,8161,,86707,"Includes Renewals and/or Redeterminations",94868,"Includes Renewals and/or Redeterminations",34253,"Includes Renewals and/or Redeterminations",3463,"Includes Renewals and/or Redeterminations",37716,"Includes Renewals and/or Redeterminations",622512,,1323085,,1169176,,153909,
MD,Maryland,06/01/2019,Y,U,Y,8148,,87544,"Includes Renewals and/or Redeterminations",95692,"Includes Renewals and/or Redeterminations",37905,"Includes Renewals and/or Redeterminations",3571,"Includes Renewals and/or Redeterminations",41476,"Includes Renewals and/or Redeterminations",621388,,1322426,,1170407,,152019,
MD,Maryland,07/01/2019,Y,U,Y,6993,,92913,"Includes Renewals and/or Redeterminations",99906,"Includes Renewals and/or Redeterminations",38675,"Includes Renewals and/or Redeterminations",3957,"Includes Renewals and/or Redeterminations",42632,"Includes Renewals and/or Redeterminations",622113,,1326315,,1175791,,150524,
MD,Maryland,08/01/2019,Y,U,Y,7098,,92009,"Includes Renewals and/or Redeterminations",99107,"Includes Renewals and/or Redeterminations",38840,"Includes Renewals and/or Redeterminations",4117,"Includes Renewals and/or Redeterminations",42957,"Includes Renewals and/or Redeterminations",622556,,1328343,,1179451,,148892,
MD,Maryland,09/01/2019,Y,U,Y,6597,,90504,,97101,,36430,,3516,,39946,,622320,,1327889,,1180283,,147606,
MD,Maryland,10/01/2019,Y,U,Y,7693,,101523,"Includes Renewals and/or Redeterminations",109216,"Includes Renewals and/or Redeterminations",39494,"Includes Renewals and/or Redeterminations",4081,"Includes Renewals and/or Redeterminations",43575,"Includes Renewals and/or Redeterminations",622786,,1329774,,1183205,,146569,
MD,Maryland,11/01/2019,Y,U,Y,7759,,106419,"Includes Renewals and/or Redeterminations",114178,"Includes Renewals and/or Redeterminations",38791,"Includes Renewals and/or Redeterminations",4673,"Includes Renewals and/or Redeterminations",43464,"Includes Renewals and/or Redeterminations",620241,,1328056,,1185390,,142666,
MD,Maryland,12/01/2019,Y,U,Y,6783,,104628,"Includes Renewals and/or Redeterminations",111411,"Includes Renewals and/or Redeterminations",38419,"Includes Renewals and/or Redeterminations",6116,"Includes Renewals and/or Redeterminations",44535,"Includes Renewals and/or Redeterminations",620241,,1328704,,1187568,,141136,
MD,Maryland,01/01/2020,Y,U,Y,7650,,91251,,98901,,42618,,7040,,49658,,621254,,1329134,,1188200,,140934,
MD,Maryland,02/01/2020,Y,U,Y,7062,,80690,"Includes Renewals and/or Redeterminations",87752,"Includes Renewals and/or Redeterminations",45680,"Includes Renewals and/or Redeterminations",5112,"Includes Renewals and/or Redeterminations",50792,"Includes Renewals and/or Redeterminations",622062,,1330660,,1189762,,140898,
MD,Maryland,03/01/2020,Y,U,Y,5461,,83496,"Includes Renewals and/or Redeterminations",88957,"Includes Renewals and/or Redeterminations",48132,"Includes Renewals and/or Redeterminations",5133,"Includes Renewals and/or Redeterminations",53265,"Includes Renewals and/or Redeterminations",622930,,1335833,,1194624,,141209,
MD,Maryland,04/01/2020,Y,U,Y,4662,,65509,"Includes Renewals and/or Redeterminations",70171,"Includes Renewals and/or Redeterminations",37967,"Includes Renewals and/or Redeterminations",3197,"Includes Renewals and/or Redeterminations",41164,"Includes Renewals and/or Redeterminations",627010,,1350607,,1208467,,142140,
MD,Maryland,05/01/2020,Y,U,Y,3558,,62328,"Includes Renewals and/or Redeterminations",65886,"Includes Renewals and/or Redeterminations",27954,"Includes Renewals and/or Redeterminations",1731,"Includes Renewals and/or Redeterminations",29685,"Includes Renewals and/or Redeterminations",630875,,1362890,,1220901,,141989,
MD,Maryland,06/01/2020,Y,U,Y,3983,,72988,"Includes Renewals and/or Redeterminations",76971,"Includes Renewals and/or Redeterminations",31380,"Includes Renewals and/or Redeterminations",1586,"Includes Renewals and/or Redeterminations",32966,"Includes Renewals and/or Redeterminations",636480,,1377552,,1235002,,142550,
MD,Maryland,07/01/2020,Y,U,Y,4317,,71753,"Includes Renewals and/or Redeterminations",76070,"Includes Renewals and/or Redeterminations",33135,"Includes Renewals and/or Redeterminations",1788,"Includes Renewals and/or Redeterminations",34923,"Includes Renewals and/or Redeterminations",641766,,1392038,,1248972,,143066,
MD,Maryland,08/01/2020,Y,U,Y,5337,,70468,"Includes Renewals and/or Redeterminations",75805,"Includes Renewals and/or Redeterminations",33121,"Includes Renewals and/or Redeterminations",1972,"Includes Renewals and/or Redeterminations",35093,"Includes Renewals and/or Redeterminations",646318,,1405507,,1262271,,143236,
MD,Maryland,09/01/2020,Y,U,Y,5245,,71935,"Includes Renewals and/or Redeterminations",77180,"Includes Renewals and/or Redeterminations",34556,"Includes Renewals and/or Redeterminations",1795,"Includes Renewals and/or Redeterminations",36351,"Includes Renewals and/or Redeterminations",649866,,1418225,,1274845,,143380,
MD,Maryland,10/01/2020,Y,U,Y,4825,,82881,"Includes Renewals and/or Redeterminations",87706,"Includes Renewals and/or Redeterminations",38128,"Includes Renewals and/or Redeterminations",1616,"Includes Renewals and/or Redeterminations",39744,"Includes Renewals and/or Redeterminations",653337,,1430094,,1286503,,143591,
MD,Maryland,11/01/2020,Y,U,Y,3477,,89669,"Includes Renewals and/or Redeterminations",93146,"Includes Renewals and/or Redeterminations",35138,"Includes Renewals and/or Redeterminations",1796,"Includes Renewals and/or Redeterminations",36934,"Includes Renewals and/or Redeterminations",656783,,1443941,,1300005,,143936,
MD,Maryland,12/01/2020,Y,U,Y,3600,,94238,"Includes Renewals and/or Redeterminations",97838,"Includes Renewals and/or Redeterminations",36760,"Includes Renewals and/or Redeterminations",2493,"Includes Renewals and/or Redeterminations",39253,"Includes Renewals and/or Redeterminations",661452,,1461878,,1317828,,144050,
MD,Maryland,01/01/2021,Y,U,Y,3040,,66648,"Includes Renewals and/or Redeterminations",69688,"Includes Renewals and/or Redeterminations",37818,"Includes Renewals and/or Redeterminations",3124,"Includes Renewals and/or Redeterminations",40942,"Includes Renewals and/or Redeterminations",664647,,1473436,,1330293,,143143,
MD,Maryland,02/01/2021,Y,U,Y,1445,,69635,"Includes Renewals and/or Redeterminations",71080,"Includes Renewals and/or Redeterminations",32909,"Includes Renewals and/or Redeterminations",1972,"Includes Renewals and/or Redeterminations",34881,"Includes Renewals and/or Redeterminations",667569,,1483465,,1340581,,142884,
MD,Maryland,03/01/2021,Y,U,Y,3406,,68382,"Includes Renewals and/or Redeterminations",71788,"Includes Renewals and/or Redeterminations",29135,"Includes Renewals and/or Redeterminations",1536,"Includes Renewals and/or Redeterminations",30671,"Includes Renewals and/or Redeterminations",671035,,1495285,,1352569,,142716,
MD,Maryland,04/01/2021,Y,U,Y,2696,,79941,"Includes Renewals and/or Redeterminations",82637,"Includes Renewals and/or Redeterminations",34512,"Includes Renewals and/or Redeterminations",2410,"Includes Renewals and/or Redeterminations",36922,"Includes Renewals and/or Redeterminations",673642,,1505113,,1362006,,143107,
MD,Maryland,05/01/2021,Y,U,Y,2651,,70262,"Includes Renewals and/or Redeterminations",72913,"Includes Renewals and/or Redeterminations",31565,"Includes Renewals and/or Redeterminations",3398,"Includes Renewals and/or Redeterminations",34963,"Includes Renewals and/or Redeterminations",676048,,1514069,,1369435,,144634,
MD,Maryland,06/01/2021,Y,U,Y,3010,,71984,"Includes Renewals and/or Redeterminations",74994,"Includes Renewals and/or Redeterminations",38208,"Includes Renewals and/or Redeterminations",3127,"Includes Renewals and/or Redeterminations",41335,"Includes Renewals and/or Redeterminations",678961,,1523891,,1377552,,146339,
MD,Maryland,07/01/2021,Y,U,Y,2946,,70147,"Includes Renewals and/or Redeterminations",73093,"Includes Renewals and/or Redeterminations",34449,"Includes Renewals and/or Redeterminations",2744,"Includes Renewals and/or Redeterminations",37193,"Includes Renewals and/or Redeterminations",682162,,1534076,,1385978,,148098,
MD,Maryland,08/01/2021,Y,U,Y,2391,,75685,"Includes Renewals and/or Redeterminations",78076,"Includes Renewals and/or Redeterminations",41458,"Includes Renewals and/or Redeterminations",3575,"Includes Renewals and/or Redeterminations",45033,"Includes Renewals and/or Redeterminations",685906,,1545932,,1395826,,150106,
MD,Maryland,09/01/2021,Y,U,Y,1925,,74820,"Includes Renewals and/or Redeterminations",76745,"Includes Renewals and/or Redeterminations",40218,"Includes Renewals and/or Redeterminations",3233,"Includes Renewals and/or Redeterminations",43451,"Includes Renewals and/or Redeterminations",688959,,1554542,,1402648,,151894,
MD,Maryland,10/01/2021,Y,U,Y,1194,,80257,"Includes Renewals and/or Redeterminations",81451,"Includes Renewals and/or Redeterminations",43566,"Includes Renewals and/or Redeterminations",4023,"Includes Renewals and/or Redeterminations",47589,"Includes Renewals and/or Redeterminations",691823,,1563867,,1410271,,153596,
MD,Maryland,11/01/2021,Y,U,Y,4723,,89555,"Includes Renewals and/or Redeterminations",94278,"Includes Renewals and/or Redeterminations",39550,"Includes Renewals and/or Redeterminations",3060,"Includes Renewals and/or Redeterminations",42610,"Includes Renewals and/or Redeterminations",694169,,1572390,,1417022,,155368,
MD,Maryland,12/01/2021,Y,U,Y,4146,,85046,"Includes Renewals and/or Redeterminations",89192,"Includes Renewals and/or Redeterminations",37736,"Includes Renewals and/or Redeterminations",4375,"Includes Renewals and/or Redeterminations",42111,"Includes Renewals and/or Redeterminations",696786,,1582312,,1424999,,157313,
MD,Maryland,01/01/2022,Y,U,Y,4323,,86135,"Includes Renewals and/or Redeterminations",90458,"Includes Renewals and/or Redeterminations",37425,"Includes Renewals and/or Redeterminations",4242,"Includes Renewals and/or Redeterminations",41667,"Includes Renewals and/or Redeterminations",700039,,1596257,,1437329,,158928,
MD,Maryland,02/01/2022,Y,U,Y,3421,,64579,"Includes Renewals and/or Redeterminations",68000,"Includes Renewals and/or Redeterminations",35088,"Includes Renewals and/or Redeterminations",3987,"Includes Renewals and/or Redeterminations",39075,"Includes Renewals and/or Redeterminations",703178,,1605744,,1445504,,160240,
MD,Maryland,03/01/2022,Y,U,Y,4836,,66391,"Includes Renewals and/or Redeterminations",71227,"Includes Renewals and/or Redeterminations",36543,"Includes Renewals and/or Redeterminations",3812,"Includes Renewals and/or Redeterminations",40355,"Includes Renewals and/or Redeterminations",706436,,1615588,,1454835,,160753,
MD,Maryland,04/01/2022,Y,U,Y,4528,,59092,"Includes Renewals and/or Redeterminations",63620,"Includes Renewals and/or Redeterminations",36833,"Includes Renewals and/or Redeterminations",3590,"Includes Renewals and/or Redeterminations",40423,"Includes Renewals and/or Redeterminations",708713,,1622660,,1461888,,160772,
MD,Maryland,05/01/2022,Y,U,Y,4528,,61062,"Includes Renewals and/or Redeterminations",65590,"Includes Renewals and/or Redeterminations",32253,"Includes Renewals and/or Redeterminations",3038,"Includes Renewals and/or Redeterminations",35291,"Includes Renewals and/or Redeterminations",710285,,1628180,,1467362,,160818,
MD,Maryland,06/01/2022,Y,U,Y,5132,,68411,"Includes Renewals and/or Redeterminations",73543,"Includes Renewals and/or Redeterminations",31449,"Includes Renewals and/or Redeterminations",2674,"Includes Renewals and/or Redeterminations",34123,"Includes Renewals and/or Redeterminations",712883,,1636369,,1475099,,161270,
MD,Maryland,07/01/2022,Y,U,Y,4373,,65473,"Includes Renewals and/or Redeterminations",69846,"Includes Renewals and/or Redeterminations",36957,"Includes Renewals and/or Redeterminations",3334,"Includes Renewals and/or Redeterminations",40291,"Includes Renewals and/or Redeterminations",716064,,1645951,,1484201,,161750,
MD,Maryland,08/01/2022,Y,U,Y,5141,,65661,"Includes Renewals and/or Redeterminations",70802,"Includes Renewals and/or Redeterminations",34348,"Includes Renewals and/or Redeterminations",2958,"Includes Renewals and/or Redeterminations",37306,"Includes Renewals and/or Redeterminations",718968,,1654583,,1492159,,162424,
MD,Maryland,09/01/2022,Y,U,Y,4568,,66605,"Includes Renewals and/or Redeterminations",71173,"Includes Renewals and/or Redeterminations",33931,"Includes Renewals and/or Redeterminations",3226,"Includes Renewals and/or Redeterminations",37157,"Includes Renewals and/or Redeterminations",721288,,1661447,,1498404,,163043,
MD,Maryland,10/01/2022,Y,U,Y,5172,,74039,"Includes Renewals and/or Redeterminations",79211,"Includes Renewals and/or Redeterminations",33652,"Includes Renewals and/or Redeterminations",2871,"Includes Renewals and/or Redeterminations",36523,"Includes Renewals and/or Redeterminations",723964,,1673179,,1509033,,164146,
MD,Maryland,11/01/2022,Y,U,Y,4612,,87026,"Includes Renewals and/or Redeterminations",91638,"Includes Renewals and/or Redeterminations",33950,"Includes Renewals and/or Redeterminations",3041,"Includes Renewals and/or Redeterminations",36991,"Includes Renewals and/or Redeterminations",725800,,1681420,,1516806,,164614,
MD,Maryland,12/01/2022,Y,U,Y,4312,,84114,"Includes Renewals and/or Redeterminations",88426,"Includes Renewals and/or Redeterminations",35641,"Includes Renewals and/or Redeterminations",4137,"Includes Renewals and/or Redeterminations",39778,"Includes Renewals and/or Redeterminations",728020,,1685151,,1520188,,164963,
ME,Maine,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,,,,,,
ME,Maine,06/01/2017,Y,U,Y,1508,,0,,1508,,10213,,325,,10538,,113315,,235597,,226077,,9520,
ME,Maine,07/01/2017,Y,U,Y,1438,,0,,1438,,8978,,329,,9307,,112961,,234918,,225459,,9459,
ME,Maine,08/01/2017,Y,U,Y,1523,,0,,1523,,10202,,347,,10549,,112869,,234535,,225046,,9489,
ME,Maine,09/01/2017,Y,U,Y,1411,,0,,1411,,11163,,439,,11602,,112522,,233850,,224308,,9542,
ME,Maine,10/01/2017,Y,U,Y,1365,,0,,1365,,10912,,456,,11368,,111999,,233303,,223687,,9616,
ME,Maine,11/01/2017,Y,U,Y,1293,,0,,1293,,9872,,468,,10340,,111432,,232105,,222322,,9783,
ME,Maine,12/01/2017,Y,U,Y,1254,,0,,1254,,9271,,384,,9655,,111272,,231725,,221915,,9810,
ME,Maine,01/01/2018,Y,U,Y,1445,,0,,1445,,9690,,445,,10135,,111331,,231925,,222114,,9811,
ME,Maine,02/01/2018,Y,U,Y,1369,,0,,1369,,9501,,424,,9925,,111043,,231551,,221642,,9909,
ME,Maine,03/01/2018,Y,U,Y,1366,,0,,1366,,10518,,712,,11230,,111151,,231278,,221228,,10050,
ME,Maine,04/01/2018,Y,U,Y,1189,,0,,1189,,9475,,559,,10034,,110812,,230588,,220544,,10044,
ME,Maine,05/01/2018,Y,U,Y,5284,,0,,5284,,10443,,633,,11076,,110153,,228892,,218902,,9990,
ME,Maine,06/01/2018,Y,U,Y,4939,,0,,4939,,9481,,539,,10020,,109876,,230488,,220466,,10022,
ME,Maine,07/01/2018,Y,U,Y,4807,,0,,4807,,8876,,508,,9384,,109580,,230826,,220783,,10043,
ME,Maine,08/01/2018,Y,U,Y,5521,,0,,5521,,10925,,668,,11593,,109178,,230634,,220519,,10115,
ME,Maine,09/01/2018,Y,U,Y,4657,,0,,4657,,9003,,612,,9615,,108982,,231268,,221067,,10201,
ME,Maine,10/01/2018,Y,U,Y,5628,,0,,5628,,10403,,694,,11097,,108546,,231660,,221392,,10268,
ME,Maine,11/01/2018,Y,U,Y,5110,,0,,5110,,9913,,785,,10698,,108148,,232585,,222255,,10330,
ME,Maine,12/01/2018,Y,U,Y,4836,,0,,4836,,9214,,461,,9675,,108345,,237733,,227049,,10684,
ME,Maine,01/01/2019,Y,U,Y,9522,,0,,9522,,9420,,531,,9951,,108335,,242300,,231495,,10805,
ME,Maine,02/01/2019,Y,U,Y,7843,,0,,7843,,9114,,644,,9758,,108303,,245584,,234628,,10956,
ME,Maine,03/01/2019,Y,U,Y,8118,,0,,8118,,10924,,511,,11435,,108163,,248538,,237408,,11130,
ME,Maine,04/01/2019,Y,U,Y,7784,,0,,7784,,10662,,616,,11278,,108149,,250604,,239361,,11243,
ME,Maine,05/01/2019,Y,U,Y,7317,,0,,7317,,11771,,673,,12444,,107921,,252018,,240656,,11362,
ME,Maine,06/01/2019,Y,U,Y,6582,,0,,6582,,11653,,612,,12265,,108080,,254957,,243528,,11429,
ME,Maine,07/01/2019,Y,U,Y,7035,,0,,7035,,12969,,612,,13581,,108204,,257603,,245931,,11672,
ME,Maine,08/01/2019,Y,U,Y,6807,,0,,6807,,12005,,674,,12679,,108142,,258555,,246929,,11626,
ME,Maine,09/01/2019,Y,U,Y,6453,,0,,6453,,11074,,781,,11855,,108089,,259396,,247755,,11641,
ME,Maine,10/01/2019,Y,U,Y,7036,,0,,7036,,12001,,725,,12726,,107883,,260536,,248779,,11757,
ME,Maine,11/01/2019,Y,U,Y,6287,,0,,6287,,10727,,770,,11497,,107909,,262638,,250750,,11888,
ME,Maine,12/01/2019,Y,U,Y,6375,,0,,6375,,9740,,638,,10378,,108130,,264424,,252616,,11808,
